time_seconds,cycle,phase,pressure_torr,shroud_temp,node_id,measured_temp
3310.0,3,HOT_DWELL,1.000000e-06,-22.50,1,-34.285
3310.0,3,HOT_DWELL,1.000000e-06,-22.50,2,-28.688
3310.0,3,HOT_DWELL,1.000000e-06,-22.50,3,-24.852
3310.0,3,HOT_DWELL,1.000000e-06,-22.50,4,-22.506
3310.0,3,HOT_DWELL,1.000000e-06,-22.50,5,-26.154
3310.0,3,HOT_DWELL,1.000000e-06,-22.50,6,-32.060
3315.0,3,HOT_DWELL,1.000000e-06,-20.00,1,-31.236
3315.0,3,HOT_DWELL,1.000000e-06,-20.00,2,-25.830
3315.0,3,HOT_DWELL,1.000000e-06,-20.00,3,-22.223
3315.0,3,HOT_DWELL,1.000000e-06,-20.00,4,-19.937
3315.0,3,HOT_DWELL,1.000000e-06,-20.00,5,-23.431
3315.0,3,HOT_DWELL,1.000000e-06,-20.00,6,-28.945
3320.0,3,HOT_DWELL,1.000000e-06,-17.50,1,-28.107
3320.0,3,HOT_DWELL,1.000000e-06,-17.50,2,-23.043
3320.0,3,HOT_DWELL,1.000000e-06,-17.50,3,-19.586
3320.0,3,HOT_DWELL,1.000000e-06,-17.50,4,-17.397
3320.0,3,HOT_DWELL,1.000000e-06,-17.50,5,-20.734
3320.0,3,HOT_DWELL,1.000000e-06,-17.50,6,-25.790
3325.0,3,HOT_DWELL,1.000000e-06,-15.00,1,-24.993
3325.0,3,HOT_DWELL,1.000000e-06,-15.00,2,-20.165
3325.0,3,HOT_DWELL,1.000000e-06,-15.00,3,-17.000
3325.0,3,HOT_DWELL,1.000000e-06,-15.00,4,-14.797
3325.0,3,HOT_DWELL,1.000000e-06,-15.00,5,-18.024
3325.0,3,HOT_DWELL,1.000000e-06,-15.00,6,-22.777
3330.0,3,HOT_DWELL,1.000000e-06,-12.50,1,-21.932
3330.0,3,HOT_DWELL,1.000000e-06,-12.50,2,-17.469
3330.0,3,HOT_DWELL,1.000000e-06,-12.50,3,-14.436
3330.0,3,HOT_DWELL,1.000000e-06,-12.50,4,-12.195
3330.0,3,HOT_DWELL,1.000000e-06,-12.50,5,-15.336
3330.0,3,HOT_DWELL,1.000000e-06,-12.50,6,-19.777
3335.0,3,HOT_DWELL,1.000000e-06,-10.00,1,-18.963
3335.0,3,HOT_DWELL,1.000000e-06,-10.00,2,-14.673
3335.0,3,HOT_DWELL,1.000000e-06,-10.00,3,-11.754
3335.0,3,HOT_DWELL,1.000000e-06,-10.00,4,-9.650
