day,mode,winner_sat_id,max_temp_cpu,avg_temp_cpu,total_tasks_completed,total_overheat_incidents
10.00,egoistic,0,68.94,33.89,101,11
10.10,egoistic,1,60.97,33.00,102,11
10.20,egoistic,2,69.50,33.25,103,11
10.30,egoistic,3,83.98,34.90,104,11
10.40,egoistic,4,80.35,35.62,105,11
10.50,egoistic,5,59.97,33.98,106,11
10.60,egoistic,6,56.45,32.58,107,11
10.70,egoistic,7,70.99,33.10,108,11
10.80,egoistic,8,75.00,33.84,109,11
10.90,egoistic,9,64.86,33.33,110,11
11.00,egoistic,0,81.10,34.63,111,11
11.10,egoistic,1,78.84,35.25,112,11
11.20,egoistic,2,76.21,35.39,113,11
11.30,egoistic,3,61.44,33.98,114,11
11.40,egoistic,4,60.47,32.99,115,11
11.50,egoistic,5,54.42,31.73,116,11
11.60,egoistic,6,61.83,31.59,117,11
11.70,egoistic,7,69.56,32.26,118,11
11.80,egoistic,8,82.15,33.99,119,11
11.90,egoistic,9,61.11,32.50,120,11
12.00,egoistic,0,67.65,32.65,121,11
12.10,egoistic,1,74.81,33.47,122,11
12.20,egoistic,2,60.13,32.60,123,11
12.30,egoistic,3,77.00,33.71,124,11
12.40,egoistic,4,70.21,33.77,125,11
12.50,egoistic,5,61.80,32.95,126,11
12.60,egoistic,6,75.64,33.77,127,11
12.70,egoistic,7,56.72,32.11,128,11
12.80,egoistic,8,78.87,33.54,129,11
12.90,egoistic,9,79.47,34.54,130,11
13.00,egoistic,0,59.27,32.96,131,11
13.10,egoistic,1,67.88,33.01,132,11
13.20,egoistic,2,59.51,32.15,133,11
13.30,egoistic,3,85.79,34.22,134,12
13.40,egoistic,4,71.00,34.15,135,12
13.50,egoistic,5,55.29,32.53,136,12
13.60,egoistic,6,61.97,32.11,137,12
13.70,egoistic,7,82.10,33.79,138,12
13.80,egoistic,8,68.94,33.62,139,12
13.90,egoistic,9,80.53,34.69,140,12
14.00,egoistic,0,76.03,34.95,141,12
14.10,egoistic,1,86.79,36.19,142,13
14.20,egoistic,2,73.61,35.65,143,13
14.30,egoistic,3,85.52,36.55,144,14
14.40,egoistic,4,83.55,36.94,145,14
14.50,egoistic,5,74.19,36.25,146,14
14.60,egoistic,6,77.77,36.10,147,14
14.70,egoistic,7,70.56,35.31,148,14
14.80,egoistic,8,81.51,35.85,149,14
14.90,egoistic,9,72.01,35.26,150,14
15.00,egoistic,0,83.75,36.01,151,14
15.10,egoistic,1,78.59,36.03,152,14
15.20,egoistic,2,69.55,35.11,153,14
15.30,egoistic,3,62.31,33.76,154,14
15.40,egoistic,4,61.91,32.85,155,14
15.50,egoistic,5,75.03,33.53,156,14
15.60,egoistic,6,79.33,34.44,157,14
15.70,egoistic,7,71.12,34.20,158,14
15.80,egoistic,8,74.66,34.41,159,14
15.90,egoistic,9,62.83,33.33,160,14
16.00,egoistic,0,56.20,31.96,161,14
16.10,egoistic,1,63.20,31.80,162,14
16.20,egoistic,2,62.73,31.64,163,14
16.30,egoistic,3,64.34,31.65,164,14
16.40,egoistic,4,71.75,32.39,165,14
16.50,egoistic,5,58.25,31.52,166,14
16.60,egoistic,6,61.37,31.26,167,14
16.70,egoistic,7,76.92,32.68,168,14
16.80,egoistic,8,77.34,33.70,169,14
16.90,egoistic,9,57.66,32.19,170,14
17.00,egoistic,0,67.30,32.34,171,14
17.10,egoistic,1,71.83,32.88,172,14
17.20,egoistic,2,67.57,32.78,173,14
17.30,egoistic,3,60.55,32.07,174,14
17.40,egoistic,4,67.72,32.29,175,14
17.50,egoistic,5,84.00,34.01,176,14
17.60,egoistic,6,73.23,34.09,177,14
17.70,egoistic,7,76.97,34.58,178,14
17.80,egoistic,8,82.39,35.41,179,14
17.90,egoistic,9,79.32,35.64,180,14
18.00,egoistic,0,66.38,34.51,181,14
18.10,egoistic,1,53.80,32.52,182,14
18.20,egoistic,2,65.42,32.32,183,14
18.30,egoistic,3,78.92,33.50,184,14
18.40,egoistic,4,82.28,34.62,185,14
18.50,egoistic,5,85.64,35.71,186,15
18.60,egoistic,6,67.68,34.63,187,15
18.70,egoistic,7,78.72,35.00,188,15
18.80,egoistic,8,71.95,34.66,189,15
18.90,egoistic,9,73.87,34.62,190,15
19.00,egoistic,0,61.01,33.28,191,15
19.10,egoistic,1,60.97,32.32,192,15
19.20,egoistic,2,68.24,32.39,193,15
19.30,egoistic,3,54.58,31.07,194,15
19.40,egoistic,4,64.89,31.26,195,15
19.50,egoistic,5,76.42,32.50,196,15
19.60,egoistic,6,67.19,32.44,197,15
19.70,egoistic,7,59.15,31.58,198,15
19.80,egoistic,8,69.30,32.07,199,15
19.90,egoistic,9,57.89,31.26,200,15
20.00,egoistic,0,74.51,32.38,201,15
20.10,egoistic,1,55.63,31.12,202,15
20.20,egoistic,2,66.84,31.49,203,15
20.30,egoistic,3,72.56,32.26,204,15
20.40,egoistic,4,54.51,31.03,205,15
20.50,egoistic,5,75.20,32.27,206,15
20.60,egoistic,6,58.16,31.40,207,15
20.70,egoistic,7,69.11,31.91,208,15
20.80,egoistic,8,55.29,30.86,209,15
20.90,egoistic,9,66.34,31.26,210,15
21.00,egoistic,0,60.71,30.95,211,15
21.10,egoistic,1,64.58,31.15,212,15
21.20,egoistic,2,79.18,32.73,213,15
21.30,egoistic,3,66.34,32.49,214,15
21.40,egoistic,4,78.87,33.59,215,15
21.50,egoistic,5,81.55,34.63,216,15
21.60,egoistic,6,62.08,33.34,217,15
21.70,egoistic,7,56.35,31.92,218,15
21.80,egoistic,8,54.25,30.73,219,15
21.90,egoistic,9,71.72,31.68,220,15
22.00,egoistic,0,87.20,33.80,221,16
22.10,egoistic,1,65.36,33.09,222,16
22.20,egoistic,2,75.44,33.57,223,16
22.30,egoistic,3,79.85,34.35,224,16
22.40,egoistic,4,75.50,34.53,225,16
22.50,egoistic,5,78.94,35.00,226,16
22.60,egoistic,6,85.51,35.90,227,17
22.70,egoistic,7,62.88,33.96,228,17
22.80,egoistic,8,54.28,32.00,229,17
22.90,egoistic,9,58.72,31.20,230,17
23.00,egoistic,0,57.84,30.54,231,17
23.10,egoistic,1,76.09,31.90,232,17
23.20,egoistic,2,72.55,32.47,233,17
23.30,egoistic,3,60.92,31.68,234,17
23.40,egoistic,4,77.10,32.79,235,17
23.50,egoistic,5,79.37,33.86,236,17
23.60,egoistic,6,59.24,32.54,237,17
23.70,egoistic,7,74.00,33.13,238,17
23.80,egoistic,8,78.73,33.93,239,17
23.90,egoistic,9,58.29,32.31,240,17
24.00,egoistic,0,81.13,33.65,241,17
24.10,egoistic,1,86.01,35.00,242,18
24.20,egoistic,2,63.16,32.99,243,18
24.30,egoistic,3,54.46,31.42,244,18
24.40,egoistic,4,64.08,31.30,245,18
24.50,egoistic,5,76.36,32.43,246,18
24.60,egoistic,6,85.79,34.19,247,19
24.70,egoistic,7,66.93,33.43,248,19
24.80,egoistic,8,77.62,33.95,249,19
24.90,egoistic,9,57.50,32.21,250,19
25.00,egoistic,0,76.80,33.19,251,19
25.10,egoistic,1,74.68,33.57,252,19
25.20,egoistic,2,57.02,32.01,253,19
25.30,egoistic,3,79.56,33.20,254,19
25.40,egoistic,4,82.17,34.25,255,19
