artifact_path,artifact_type,size_bytes,last_modified
dashboard/src/components/scientific/DiscoveryHero.tsx,unknown,3229,2026-05-19 22:16:04
dashboard/src/components/scientific/EvidencePanel.tsx,unknown,1739,2026-05-19 22:14:15
dashboard/src/components/scientific/ExperimentMetadataPanel.tsx,unknown,2436,2026-05-20 22:38:30
dashboard/src/components/scientific/ExperimentReplayTimeline.tsx,unknown,11315,2026-05-20 16:06:39
dashboard/src/components/scientific/ExportExperimentButton.tsx,unknown,6588,2026-05-20 16:07:54
dashboard/src/components/scientific/FormulaCard.tsx,unknown,2481,2026-05-18 22:12:58
dashboard/src/components/scientific/HypothesisTracker.tsx,unknown,3727,2026-05-19 22:15:45
dashboard/src/components/scientific/InsightCard.tsx,unknown,3160,2026-05-19 22:36:47
dashboard/src/components/scientific/InteractiveEquation.tsx,unknown,2271,2026-05-19 13:46:28
dashboard/src/components/scientific/KinematicDerivativesChart.tsx,unknown,4512,2026-05-20 22:44:38
dashboard/src/components/scientific/LatentEvolutionPlayer.tsx,unknown,11388,2026-05-24 14:05:54
dashboard/src/components/scientific/LiveTelemetryConsole.tsx,unknown,12872,2026-05-20 16:10:06
dashboard/src/components/scientific/ManifoldCollapsePlayer.tsx,unknown,24289,2026-05-21 14:12:46
dashboard/src/components/scientific/MethodologyExplorer.tsx,unknown,2136,2026-05-19 13:48:16
dashboard/src/components/scientific/NoiseRobustnessObservatory.tsx,unknown,16966,2026-05-23 23:47:45
dashboard/src/components/scientific/RelatedResearchPanel.tsx,unknown,2822,2026-05-19 22:37:07
dashboard/src/components/scientific/ResearchNarrative.tsx,unknown,3003,2026-05-19 22:15:21
dashboard/src/components/scientific/ScientificLog.tsx,unknown,3791,2026-05-18 22:13:21
dashboard/src/components/scientific/ScientificObservabilityDashboard.tsx,unknown,5632,2026-05-21 09:37:36
dashboard/src/components/scientific/ScientificRegressionPanel.tsx,unknown,9306,2026-05-21 09:29:38
dashboard/src/components/scientific/ScientificTrendChart.tsx,unknown,4165,2026-05-20 22:48:50
dashboard/src/components/scientific/StabilityHeatmap.tsx,unknown,5784,2026-05-21 09:37:57
